OTUID	BeanRoot1ng0clamp	BeanRoot1ng25clamp	BeanRoot1ng50clamp	BeanRoot1ng75clamp	SGLeaf100ng0clamp	SGLeaf100ng25clamp	SGLeaf100ng50clamp	SGLeaf100ng75clamp	SGLeaf10ng0clamp	SGLeaf10ng25clamp	SGLeaf10ng50clamp	SGLeaf10ng75clamp	SGLeaf1ng0clamp	SGLeaf1ng25clamp	SGLeaf1ng50clamp	SGLeaf1ng75clamp
OTU198	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU220	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU117	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU86	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU114	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU193	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU192	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU116	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU215	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU122	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU223	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU203	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU125	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU127	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU210	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU97	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU179	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU29	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0
OTU54	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0
OTU120	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU60	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
OTU200	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
OTU76	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
OTU44	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
OTU90	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
OTU80	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
OTU100	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU69	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
OTU160	0	0	0	3	0	0	0	0	0	0	0	0	5	0	0	0
OTU103	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
OTU63	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
OTU113	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
OTU201	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU182	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU150	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU176	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
OTU147	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
